pid,hid,avg_rec
75403,7544,4.222222222222222
75404,7544,3.888888888888889
75501,7552,4.0
75502,7552,5.666666666666667
75503,7552,7.0
75601,7560,2.3333333333333335
75603,79723,4.0
75702,7579,3.0
75902,7595,4.0
75905,106208,3.6666666666666665
75906,121410,3.7777777777777777
76303,118389,4.0
76305,94013,3.6666666666666665
76401,7641,2.6666666666666665
76402,94439,1.3333333333333333
76502,7650,4.333333333333333
76802,7684,3.5555555555555554
77204,71447,2.3333333333333335
77502,7757,2.0
77504,115746,3.0
77505,124052,6.0
77506,124052,5.0
77601,7765,3.3333333333333335
77602,7765,1.3333333333333333
77603,112267,3.6666666666666665
77604,125407,6.333333333333333
77801,7781,3.0
77802,7781,2.0
77902,7790,1.6666666666666667
78001,7803,4.666666666666667
78002,7803,2.3333333333333335
78003,105651,3.888888888888889
78004,122637,5.666666666666667
78101,7811,1.0
78102,7811,2.3333333333333335
78103,95036,2.111111111111111
78104,125369,1.8888888888888888
78201,7820,2.2222222222222223
78203,7820,3.5555555555555554
78205,92266,1.0
78301,7838,1.6666666666666667
78401,95044,3.2222222222222223
78402,7846,3.7777777777777777
78403,110590,2.3333333333333335
78701,7870,2.4444444444444446
78702,7870,2.7777777777777777
78801,7889,1.6666666666666667
78802,7889,2.0
78901,7897,2.0
78903,97136,3.4444444444444446
78904,109827,5.0
78905,97136,4.666666666666667
79201,7927,2.888888888888889
79202,7927,3.4444444444444446
79301,7935,3.888888888888889
79302,65242,1.2222222222222223
79401,7943,3.888888888888889
79402,7943,3.4444444444444446
79404,7943,6.333333333333333
79601,7960,2.111111111111111
79602,7960,2.3333333333333335
79604,7960,3.3333333333333335
79701,7978,4.111111111111111
79702,7978,3.0
79901,7994,1.6666666666666667
79903,75124,3.0
79904,107832,4.0
79905,65064,3.3333333333333335
79906,65072,4.0
79907,75132,3.0
79908,117480,6.111111111111111
79909,107832,4.666666666666667
79911,119342,1.8888888888888888
79912,119342,1.6666666666666667
79913,125490,2.0
80002,8001,1.7777777777777777
80003,8001,4.111111111111111
80102,8010,1.4444444444444444
80202,8028,1.7777777777777777
80203,113948,1.6666666666666667
80204,113956,4.0
80205,8028,2.0
80301,8036,1.3333333333333333
80302,94447,6.555555555555555
80303,79731,2.6666666666666665
80304,8036,2.0
80401,8044,2.3333333333333335
80402,8044,2.0
80602,8060,3.2222222222222223
80604,8060,4.555555555555555
80802,75493,3.3333333333333335
80803,8087,3.3333333333333335
81301,8133,1.7777777777777777
81303,109908,7.0
81305,8133,2.0
81307,8133,5.222222222222222
81402,8141,2.111111111111111
81404,8141,2.111111111111111
81602,8168,1.7777777777777777
81603,70238,3.5555555555555554
82101,8214,2.6666666666666665
82102,8214,1.8888888888888888
82201,8222,4.333333333333333
82202,8222,4.444444444444445
82204,100250,5.0
82205,8222,3.0
82402,60119,5.666666666666667
82403,100242,3.4444444444444446
82502,91103,1.6666666666666667
82503,91103,1.0
82901,8290,2.3333333333333335
82902,8290,1.5555555555555556
82903,83020,4.666666666666667
82904,8290,2.888888888888889
83001,85448,1.3333333333333333
83002,8303,2.4444444444444446
83301,8338,2.6666666666666665
83302,8338,3.3333333333333335
83702,8370,2.3333333333333335
84102,8419,1.6666666666666667
84401,8443,1.7777777777777777
84403,8443,2.3333333333333335
84504,65080,1.6666666666666667
84601,8460,2.3333333333333335
84602,8460,2.888888888888889
84603,8460,3.6666666666666665
84604,114448,4.222222222222222
84605,8460,3.6666666666666665
84606,8460,2.7777777777777777
84701,8478,4.714285714285714
84702,8478,2.6666666666666665
84801,75507,3.888888888888889
84802,8486,4.0
84803,97918,3.3333333333333335
84805,8486,4.222222222222222
84901,8494,2.7777777777777777
84902,8494,4.666666666666667
84903,8494,2.6666666666666665
84904,8494,1.6666666666666667
85001,8508,2.0
85002,8508,2.0
85004,8508,3.0
85102,8516,3.6666666666666665
85201,8524,3.5555555555555554
85202,8524,3.6666666666666665
85203,79677,1.4444444444444444
85302,8532,5.0
85303,94935,4.333333333333333
85304,94935,5.0
85305,8532,7.0
85401,8540,6.333333333333333
85402,8540,4.666666666666667
85502,8559,1.0
85601,8567,1.8888888888888888
85602,8567,6.333333333333333
85603,105899,3.888888888888889
85604,100366,1.2222222222222223
86001,8605,5.666666666666667
86003,8605,5.0
86601,8664,3.3333333333333335
86602,8664,2.0
86701,8672,3.3333333333333335
86702,8672,3.6666666666666665
86703,8672,3.6666666666666665
86704,8672,5.0
86801,8680,3.4444444444444446
86802,8680,4.222222222222222
86806,120880,2.6666666666666665
87202,8729,4.0
87203,109681,1.3333333333333333
87204,115495,5.333333333333333
87206,125598,4.666666666666667
87301,8737,1.6666666666666667
87501,8753,4.0
88201,8826,5.444444444444445
88203,8826,5.0
88204,8826,5.333333333333333
88301,8834,5.0
88302,100978,4.333333333333333
88303,88560,4.0
88401,8842,3.5555555555555554
88501,8850,5.333333333333333
88502,8850,6.666666666666667
88503,60461,5.888888888888889
88602,8869,5.888888888888889
88603,110426,6.111111111111111
88604,8869,7.0
88605,8869,6.0
88606,8869,6.0
88801,8885,6.444444444444445
88802,8885,5.666666666666667
88901,8893,2.7777777777777777
88902,8893,1.7777777777777777
88903,8893,3.0
89101,8915,2.6666666666666665
89102,8915,3.4444444444444446
89104,60950,1.8888888888888888
89301,8931,4.666666666666667
89302,8931,2.0
89303,8931,2.3333333333333335
89304,8931,3.6666666666666665
89305,8931,2.6666666666666665
89401,8940,3.6666666666666665
89402,109002,1.7777777777777777
89403,88412,4.555555555555555
89405,8940,4.0
89502,8958,2.888888888888889
89601,8966,4.444444444444445
89602,8966,3.5555555555555554
89603,8966,3.888888888888889
89604,8966,4.444444444444445
89701,8974,2.6666666666666665
89702,8974,2.111111111111111
89704,109533,1.5555555555555556
89801,8982,5.888888888888889
89802,8982,6.444444444444445
89803,8982,6.777777777777778
90001,9008,3.6666666666666665
90002,9008,4.666666666666667
90005,112879,4.555555555555555
90602,9067,5.777777777777778
91501,9156,1.3333333333333333
92104,79138,4.0
92105,105546,4.0
92203,9229,5.777777777777778
92205,9229,2.111111111111111
92503,79740,3.2222222222222223
92504,79758,2.6666666666666665
92601,9261,2.0
93302,9334,3.6666666666666665
93402,9342,4.111111111111111
93701,9377,4.333333333333333
93702,9377,3.888888888888889
93703,117021,1.3333333333333333
93705,9377,3.0
93801,9385,4.111111111111111
93802,9385,3.888888888888889
93803,91618,2.888888888888889
93804,97900,3.5555555555555554
93901,9393,4.333333333333333
93902,9393,4.222222222222222
93903,91030,4.555555555555555
93904,9393,4.0
94701,9474,6.222222222222222
94704,9474,3.7777777777777777
94705,9474,7.0
95001,9504,3.2222222222222223
95003,9504,4.222222222222222
95501,9555,3.0
95502,9555,3.0
95503,91669,4.0
95901,9598,3.888888888888889
95903,110957,2.7777777777777777
95904,82899,3.111111111111111
96801,9687,5.666666666666667
96802,9687,2.111111111111111
97002,91570,2.3333333333333335
97201,9725,3.4444444444444446
97202,9725,2.111111111111111
97901,9792,5.666666666666667
97902,9792,6.0
98002,85812,5.111111111111111
98101,9814,3.7777777777777777
98102,9814,3.3333333333333335
98103,75825,1.3333333333333333
98104,9814,3.3333333333333335
98105,113425,1.4444444444444444
98301,9830,3.7777777777777777
98302,9830,5.0
98701,9873,1.0
98702,70971,3.6666666666666665
98801,9881,3.2222222222222223
98803,9881,3.3333333333333335
98804,9881,5.0
98805,83062,3.0
99502,9954,3.888888888888889
99503,106143,3.4444444444444446
99801,9989,3.6666666666666665
99802,9989,3.888888888888889
100001,10006,1.0
100904,117293,5.444444444444445
101203,111015,4.777777777777778
101205,110302,2.6666666666666665
101206,108570,3.2222222222222223
101302,94862,3.888888888888889
101401,10146,2.3333333333333335
101402,10146,1.3333333333333333
101502,10154,1.4444444444444444
101503,123498,2.6666666666666665
101504,10154,3.0
101505,10154,2.888888888888889
102602,10260,2.7777777777777777
102703,79898,5.444444444444445
102902,10294,2.3333333333333335
102903,114790,5.0
103301,10332,2.6666666666666665
103305,10332,3.3333333333333335
103801,10383,2.3333333333333335
103802,65471,1.0
104102,10413,1.0
104103,118435,2.6666666666666665
104201,10421,2.0
104501,10456,3.3333333333333335
104502,10456,6.0
104503,122033,3.5555555555555554
104603,111031,2.6666666666666665
104604,71218,2.111111111111111
104701,10472,2.6666666666666665
104702,10472,2.3333333333333335
104901,91987,3.0
104902,10499,1.2222222222222223
104903,105171,3.0
104905,10499,1.2222222222222223
105201,71315,3.0
105401,10545,2.0
105501,10553,2.3333333333333335
106001,10600,4.333333333333333
106102,10618,1.3333333333333333
106201,10626,1.0
106301,10634,2.7777777777777777
106302,10634,2.4444444444444446
106303,114782,2.0
106803,70262,3.111111111111111
106901,10693,2.0
106902,10693,2.3333333333333335
106903,106364,2.6666666666666665
106904,117943,3.6666666666666665
106905,117951,3.6666666666666665
107001,10707,2.3333333333333335
107002,10707,1.8888888888888888
107201,10723,5.0
107701,10774,3.0
107702,10774,1.6666666666666667
108001,10804,3.4444444444444446
108002,10804,2.6666666666666665
108003,100625,2.5555555555555554
108101,10812,3.888888888888889
108102,10812,4.888888888888889
108103,65846,2.2222222222222223
108201,10820,2.7777777777777777
108503,108197,4.333333333333333
108801,10880,2.7777777777777777
108802,10880,3.7777777777777777
108803,79600,3.0
108804,109762,2.2222222222222223
108901,10898,1.0
108902,10898,1.0
109401,10944,4.777777777777778
109701,10979,6.111111111111111
109702,66788,3.6666666666666665
109704,10979,2.6666666666666665
109706,10979,5.555555555555555
110101,11010,2.0
110102,11010,2.0
110103,11010,5.666666666666667
110301,11037,1.0
110302,11037,2.3333333333333335
110303,11037,3.0
110601,11061,3.2222222222222223
110602,11061,3.3333333333333335
110603,85146,3.3333333333333335
110604,112216,1.7777777777777777
110605,11061,2.0
110801,11088,4.333333333333333
110802,11088,3.6666666666666665
110901,11096,4.333333333333333
110902,11096,2.0
110903,91863,3.3333333333333335
111001,11100,4.0
111002,11100,4.333333333333333
111101,11118,4.333333333333333
111102,11118,3.2222222222222223
111103,97551,1.6666666666666667
111201,11126,2.0
111701,11177,4.0
111702,11177,2.5555555555555554
111703,94129,1.6666666666666667
111902,11193,3.6666666666666665
112102,11215,2.111111111111111
112103,11215,3.2222222222222223
112401,11240,1.0
112402,11240,3.0
112501,71110,2.7777777777777777
112502,71110,6.0
112503,125873,4.666666666666667
112504,11258,4.555555555555555
112505,108243,1.8888888888888888
112506,71110,3.0
112507,115487,2.888888888888889
112508,121100,3.4444444444444446
112509,11258,4.888888888888889
112801,11282,4.888888888888889
112802,91111,1.7777777777777777
113101,11312,1.8888888888888888
113102,11312,1.6666666666666667
113401,11347,2.2222222222222223
113402,11347,1.6666666666666667
113403,108030,3.7777777777777777
113501,11355,2.6666666666666665
113503,11355,3.7777777777777777
114001,11401,3.5555555555555554
114002,11401,2.3333333333333335
114101,11410,2.3333333333333335
114102,11410,2.7777777777777777
114302,88455,3.3333333333333335
114401,11444,4.222222222222222
